ID	Question (English)	Question (Hindi)	Domain	Answer (English)	Answer String(English)	Answer (Hindi)	Answer String(Hindi)	Availability in	Answer Type
6024	Which crucial law is made by the government to ensure the food security of the 75% population of the country?	देश के 75% आबादी की खाद्य सुरक्षा सुनिश्चित करने के लिए सरकार द्वारा कौन सा महत्वपूर्ण कानून बनाया गया है?	Economic	The National Food Security Bill also has a two tier grievance redressal body, involving a grievance redressal officer (DGRO) and state food commission. This is very crucial law made by the government to ensure the food security of the 75% population of the country.	The National Food Security Bill also has a two tier grievance redressal body, involving a grievance redressal officer (DGRO) and state food commission. This is very crucial law made by the government to ensure the food security of the 75% population of the country.	राष्ट्रीय खाद्य सुरक्षा विधेयक में दो स्तरीय शिकायत निवारण वाली संस्था का भी प्रावधान है जिसमें एक समस्या निस्तारण अधिकारी (DGRO) और राज्य खाद्य आयोग शामिल है| देश की 75% आबादी को खाद्य सुरक्षा सुनिश्चित करने के लिए सरकार द्वारा बनाया गया यह बहुत महत्वपूर्ण कानून है|	राष्ट्रीय खाद्य सुरक्षा विधेयक में दो स्तरीय शिकायत निवारण वाली संस्था का भी प्रावधान है जिसमें एक समस्या निस्तारण अधिकारी (DGRO) और राज्य खाद्य आयोग शामिल है| देश की 75% आबादी को खाद्य सुरक्षा सुनिश्चित करने के लिए सरकार द्वारा बनाया गया यह बहुत महत्वपूर्ण कानून है|	Both	Descriptive
6033	Which inter-governmental organization established to stabilize the exchange rate in the international trade.	अंतर्राष्ट्रीय व्यापार में विनिमय दर को स्थिर करने के लिए कौन सा अंतर-सरकारी संगठन स्थापित किया गया था?	Economic	International Monetary Fund (IMF)	The International Monetary Fund (IMF) is the inter-governmental organisation established to stabilize the exchange rate in the international trade.	अंतरराष्ट्रीय मुद्रा कोष (आईएमएफ)	अंतरराष्ट्रीय मुद्रा कोष (आईएमएफ) एक अंतरसरकारी संगठन है जिसकी स्थापना अंतरराष्ट्रीय व्यापार में विनिमय दर को स्थिर करने के लिए की गई थी|	Both	Factoid
6032	What is the International Monetary Fund (IMF)?	अंतर्राष्ट्रीय मुद्रा कोष (आईएमएफ) क्या है?	Economic	The International Monetary Fund (IMF) is the inter-governmental organisation established to stabilize the exchange rate in the international trade. It helps the member countries to improve their Balance of Payment (BOP) condition thorough the adequate liquidity in the international market, promote the growth of global monetary cooperation, secure financial stability, facilitate international trade. It is one of the Bretton woods twins, which came into existence in 1945, is governed by and accountable to the 188 countries that make up its near-global membership.	The International Monetary Fund (IMF) is the inter-governmental organisation established to stabilize the exchange rate in the international trade. It helps the member countries to improve their Balance of Payment (BOP) condition thorough the adequate liquidity in the international market, promote the growth of global monetary cooperation, secure financial stability, facilitate international trade. It is one of the Bretton woods twins, which came into existence in 1945, is governed by and accountable to the 188 countries that make up its near-global membership.	अंतरराष्ट्रीय मुद्रा कोष (आईएमएफ) एक अंतरसरकारी संगठन है जिसकी स्थापना अंतरराष्ट्रीय व्यापार में विनिमय दर को स्थिर करने के लिए की गई थी| यह सदस्य देशों को अंतरराष्ट्रीय बाजार में पर्याप्त तरलता के माध्यम से उनके भुगतान संतुलन (बीओपी) में सुधार में मदद करता है, वैश्विक मौद्रिक सहयोग में बढ़ोतरी को बढ़ावा देता है| यह ब्रिट्टन वुड्स ट्विन्स में से एक है जो 1945 में अस्तित्व में आया था| यह 188 देशों द्वारा प्रशासित किया जाता है और ये देश इसके कार्यों के लिए जवाबदेह भी हैं|	अंतरराष्ट्रीय मुद्रा कोष (आईएमएफ) एक अंतरसरकारी संगठन है जिसकी स्थापना अंतरराष्ट्रीय व्यापार में विनिमय दर को स्थिर करने के लिए की गई थी| यह सदस्य देशों को अंतरराष्ट्रीय बाजार में पर्याप्त तरलता के माध्यम से उनके भुगतान संतुलन (बीओपी) में सुधार में मदद करता है, वैश्विक मौद्रिक सहयोग में बढ़ोतरी को बढ़ावा देता है| यह ब्रिट्टन वुड्स ट्विन्स में से एक है जो 1945 में अस्तित्व में आया था| यह 188 देशों द्वारा प्रशासित किया जाता है और ये देश इसके कार्यों के लिए जवाबदेह भी हैं|	Both	Descriptive
6031	How much kgs per household per month, Priority households (under Antyodaya Anna Yojna) are entitled to get?	प्राथमिकता वाले परिवारों को (अंत्योदय अन्न योजना के तहत) प्रति माह, प्रति परिवार कितने किलोग्राम खाद्यान्न दिया जाएगा?	Economic	35 kgs	Priority households (under Antyodaya Anna Yojna) are entitled to get 35 kgs per household per month.	35 किलोग्राम	प्राथमिकता वाले परिवारों को (अंत्योदय अन्न योजना के तहत) प्रति माह, प्रति परिवार 35 किलोग्राम खाद्यान्न दिया जाएगा|	Both	Factoid
2330	From what the rate of population growth was more due to that negative environment was born in the country during the First Five-Year Plan ?	पहली पंचवर्षीय योजना के दौरान जनसँख्या वृद्धि की दर, किसके कारण देश में नकारात्मक माहौल पैदा हुआ?	Economic			प्रति व्यक्ति आय	जनसँख्या वृद्धि की दर, प्रति व्यक्ति आय से अधिक की थी, जिसके कारण देश में नकारात्मक माहौल पैदा हुआ |	Hindi	Factoid
2238	Which connection to all villages and BPL households by 2009 was planned to ensure in eleventh plan?	2009 तक सभी गांवों और बीपीएल परिवारों के लिए कौन सा कनेक्शन ग्यारहवें योजना में सुनिश्चित करने के लिए योजनाबद्ध है?	Economic	electricity connection	Infrastructure: Ensure electricity connection to all villages and BPL households by 2009 and round-the-clock power.	बिजली कनेक्शन	2009 तक सभी गांवों और बीपीएल परिवारों को बिजली कनेक्शन सुनिश्चित करना और 24 घंटे बिजली उपलब्ध कराना |	Both	Factoid
6138	Who periodically estimates poverty lines and poverty ratios for each year?	कौन हर साल गरीबी रेखा और गरीबी अनुपात का अनुमान लगाता है?	Economic	Planning Commission of India (Now NITI Aayog)	The Planning Commission of India (Now NITI Aayog) periodically estimates poverty lines and poverty ratios for each year for which Large Sample Surveys on Household Consumer Expenditure have been conducted by the National Sample Survey Office (NSSO) of the Ministry of Statistics and Programme Implementation.	योजना आयोग (अब नीति आयोग)	योजना आयोग (अब नीति आयोग) हर वर्ष के लिए समय-समय पर गरीबी रेखा और गरीबी अनुपात का सर्वेक्षण करता है जिसके सांख्यिकी और कार्यक्रम मंत्रालय का राष्ट्रीय नमूना सर्वेक्षण कार्यालय (एनएसएसओ) बड़े पैमाने पर घरेलू उपभोक्ता व्यय के सैंपल सर्वे लेकर कार्यान्वित करता है|	Both	Factoid
6030	How much kg foodgrains per month at Rs 3, Rs 2, Rs. 1 per kg for rice, wheat and coarse grains, respectively are the Seventy-five percent of rural and fifty percent of the urban population entitled to?	प्रति माह कितना किलो अनाज, 3 रुपये, 2 रुपये, रुपये चावल, गेहूं और मोटे अनाज के लिए 1 रुपए प्रति किलोग्राम क्रमशः 75% ग्रामीण और शहरी आबादी का 50% हिस्सा है?	Economic	five kg	Seventy five percent of rural and fifty percent of the urban population entitled to five kg foodgrains per month at Rs 3, Rs 2, Rs. 1 per kg for rice, wheat and coarse grains, respectively.	5 किलो	राष्ट्रीय खाद्य सुरक्षा विधेयक के अनुसार 75 फीसदी ग्रामीण आबादी तथा 50 फीसदी शहरी आबादी को प्रति माह क्रमश: 3 रुपये किलो चावल, 2 रुपये किलो गेहूं और 1 रुपये मोटा अनाज सहित 5 किलो खाद्यान्न प्रति माह पाने की हकदार होगी|	Both	Factoid
2231	How much per 1000 live births maternal mortality ratio was planned to reduce in eleventh plan?	ग्यारहवें योजना में कितने प्रति 1000 जीवित जन्म मातृ मृत्यु दर अनुपात को कम करने की योजना थी?	Economic	1	Health: Reduce infant mortality rate to 28 and maternal mortality ratio to 1 per 1000 live births.	1	स्वास्थ्य: 1000 जीवित जन्मों में से शिशु मृत्यु दर 28 तक और मातृ मृत्यु अनुपात प्रति 1 तक कम करना |	Both	Factoid
2230	How much per 1000 live births infant mortality rate was planned to reduce in eleventh plan?	ग्यारहवें योजना में कितने प्रति 1000 जीवित जन्म शिशु मृत्यु दर की योजना बनाई गई थी?	Economic	28	Health: Reduce infant mortality rate to 28 and maternal mortality ratio to 1 per 1000 live births.	28	स्वास्थ्य: 1000 जीवित जन्मों में से शिशु मृत्यु दर 28 तक और मातृ मृत्यु अनुपात प्रति 1 तक कम करना |	Both	Factoid
2233	By when clean drinking water for all was planned to provide in eleventh plan?	ग्यारहवीं योजना में कब सभी के लिए स्वच्छ पेयजल को प्रदान करने की योजना थी ?	Economic	2009	Provide clean drinking water for all by 2009 and ensure that there are no slip-backs.	2009	2009 तक सभी के लिए स्वच्छ पेयजल उपलब्ध कराना |	Both	Factoid
2232	How much Total Fertility Rate was planned to reduce in eleventh plan?	ग्यारहवें योजना में कितने कुल प्रजनन दर को कम करने की योजना थी?	Economic	2.1	Reduce Total Fertility Rate to 2.1.	2.1	प्रजनन दर को 2.1 के स्तर पर लाना |	Both	Factoid
2235	By how much anaemia among women and girls was planned to reduce by the end of the eleventh plan?	ग्यारहवें योजना के अंत तक महिलाओं और लड़कियों में एनीमिया कितना कम करने की योजना बनाई गई थी?	Economic	50%	Reduce anaemia among women and girls by 50% by the end of the plan.	50%	योजना के अंत तक महिलाओं और लड़कियों के बीच में अनीमिया को 50% तक कम करना |	Both	Factoid
2234	By how much malnutrition among children of age group 0-3 was planned to reduce to its present level in eleventh plan?	ग्यारहवें योजना में 0-3 आयु वर्ग के बच्चों में वर्तमान स्तर से कितने तक कुपोषण को कम करने की योजना बनाई गई थी?	Economic	half	Reduce malnutrition among children of age group 0–3 to half its present level.	आधे	0-3 आयु वर्ग के बच्चों में वर्तमान स्तर से आधे तक कुपोषण को कम करना |	Both	Factoid
2237	How much sex ratio for age group 0-6 was planned to raise by 2016-17 in eleventh plan?	ग्यारहवें योजना में 2016-17 तक आयु समूह 0-6 के लिए कितना लिंग अनुपात बढ़ाने की योजना बनाई गई थी?	Economic	950	Women and Children: Raise the sex ratio for age group 0–6 to 935 by 2011–12 and to 950 by 2016–17.	950	महिलाओं और बच्चों के लिए: 0-6 आयु समूह के लिए लिंग अनुपात को 2011-12 तक 935 तथा 2016-17 तक 950 तक बढ़ाना |	Both	Factoid
2236	How much sex ratio for age group 0-6 was planned to raise by 2011-12 in eleventh plan?	ग्यारहवें योजना में 2011-12 के दौरान आयु वर्ग के 0-6 के अनुपात में कितना लिंग अनुपात बढ़ाने की योजना थी?	Economic	935	Women and Children: Raise the sex ratio for age group 0–6 to 935 by 2011–12 and to 950 by 2016–17.	935	महिलाओं और बच्चों के लिए: 0-6 आयु समूह के लिए लिंग अनुपात को 2011-12 तक 935 तथा 2016-17 तक 950 तक बढ़ाना |	Both	Factoid
6035	What helps the member countries to improve their Balance of Payment (BOP) condition through the adequate liquidity in the international market, promote the growth of global monetary cooperation, secure financial stability, facilitate international trade?	 क्या सदस्य देशों को अंतरराष्ट्रीय बाजार में पर्याप्त तरलता के माध्यम से उनके भुगतान संतुलन (बीओपी) में सुधार में मदद करता है, वैश्विक मौद्रिक सहयोग में बढ़ोतरी को बढ़ावा देता है?	Economic	International Monetary Fund (IMF)	The International Monetary Fund (IMF) helps the member countries to improve their Balance of Payment (BOP) condition thorough the adequate liquidity in the international market, promote the growth of global monetary cooperation, secure financial stability, facilitate international trade.	अंतरराष्ट्रीय मुद्रा कोष (आईएमएफ)	अंतरराष्ट्रीय मुद्रा कोष (आईएमएफ) सदस्य देशों को अंतरराष्ट्रीय बाजार में पर्याप्त तरलता के माध्यम से उनके भुगतान संतुलन (बीओपी) में सुधार में मदद करता है, वैश्विक मौद्रिक सहयोग में बढ़ोतरी को बढ़ावा देता है|	Both	Factoid
6034	Why did the International Monetary Fund (IMF) was establish?	अंतर्राष्ट्रीय मुद्रा कोष (आईएमएफ) क्यों स्थापित किया गया था?	Economic	The International Monetary Fund (IMF) is the inter-governmental organisation established to stabilize the exchange rate in the international trade.	The International Monetary Fund (IMF) is the inter-governmental organisation established to stabilize the exchange rate in the international trade.	अंतरराष्ट्रीय मुद्रा कोष (आईएमएफ) एक अंतरसरकारी संगठन है जिसकी स्थापना अंतरराष्ट्रीय व्यापार में विनिमय दर को स्थिर करने के लिए की गई थी|	अंतरराष्ट्रीय मुद्रा कोष (आईएमएफ) एक अंतरसरकारी संगठन है जिसकी स्थापना अंतरराष्ट्रीय व्यापार में विनिमय दर को स्थिर करने के लिए की गई थी|	Both	Descriptive
6050	Whose primary purpose is to ensure the stability of the international monetary system the system of exchange rates and international payments that enables countries (and their citizens) to transact with each other?	किसका प्राथमिक काम अंतरराष्ट्रीय मौद्रिक प्रणाली– विनिमय दरों और अंतरराष्ट्रीय भुगतानों की वह प्रणाली जो देशों (और वहां के लोगों) को एक दूसरे के साथ कारोबार करने में सक्षम बनाता है, की स्थिरता सुनिश्चित करना है?	Economic	IMF	The IMF's primary purpose is to ensure the stability of the international monetary system—the system of exchange rates and international payments that enables countries (and their citizens) to transact with each other.	आईएमएफ	आईएमएफ का प्राथमिक काम अंतरराष्ट्रीय मौद्रिक प्रणाली– विनिमय दरों और अंतरराष्ट्रीय भुगतानों की वह प्रणाली जो देशों (और वहां के लोगों) को एक दूसरे के साथ कारोबार करने में सक्षम बनाता है, की स्थिरता सुनिश्चित करना है|	Both	Factoid
2095	What is Export Credit Insurance Corporation of South Africa Ltd, South Africa (''ECIC'')?	दक्षिण अफ्रीका लिमिटेड, दक्षिण अफ्रीका ("ईसीआईसी") का निर्यात क्रेडिट इंश्योरेंस कॉरपोरेशन क्या है?	Economic	Export Credit Insurance Corporation of South Africa Ltd, South Africa (“ECIC”), an authorized South African export credit insurance company.	Export Credit Insurance Corporation of South Africa Ltd, South Africa (“ECIC”), an authorized South African export credit insurance company.	एक्सपोर्ट क्रेडिट इंश्योरेंस कॉरपोरेशन ऑफ साउथ अफ्रीका लिमिटेड साउथ अफ्रीका (ECIC)- यह दक्षिण अफ्रीकी सरकार के स्वामित्व वाली एक निर्यात ऋण बीमा कंपनी हैं|	एक्सपोर्ट क्रेडिट इंश्योरेंस कॉरपोरेशन ऑफ साउथ अफ्रीका लिमिटेड साउथ अफ्रीका ("ECIC")- यह दक्षिण अफ्रीकी सरकार के स्वामित्व वाली एक निर्यात ऋण बीमा कंपनी हैं|	Both	Descriptive
2094	Which authorized Chinese export credit insurance institution, fully owned by government?	किस अधिकृत चीनी निर्यात क्रेडिट बीमा संस्थान, पूरी तरह से सरकार के स्वामित्व में है?	Economic	China Export & Credit Insurance Corporation, P.R. China (SINOSURE), an authorized Chinese export credit insurance institution, fully owned by government.	China Export & Credit Insurance Corporation, P.R. China ("SINOSURE"), an authorized Chinese export credit insurance institution, fully owned by government.	चाईना एक्सपोर्ट एंड क्रेडिट इंश्योरेंस कॉरपोरेशन, पी.आर चाईना (SINOSURE): यह एक अधिकृत चीनी निर्यात ऋण बीमा संस्था है जिस पर पूरी तरह से सरकार का स्वामित्व है|	चाईना एक्सपोर्ट एंड क्रेडिट इंश्योरेंस कॉरपोरेशन, पी.आर चाईना ("SINOSURE"): यह एक अधिकृत चीनी निर्यात ऋण बीमा संस्था है जिस पर पूरी तरह से सरकार का स्वामित्व है|	Both	Descriptive
2097	Whose registered office at 349 Witch Hazel Avenue, Highveld Extension 79, Centurion, 0157, South Africa?	349 विच हेजल एवेन्यू, हाईवेल्ड एक्सटेंशन 79, सेंचुरियन, 0157, दक्षिण अफ्रीका में किसका पंजीकृत कार्यालय है?	Economic	ECIC	ECIC is a self-sustained state-owned ECA with its registered office at 349 Witch Hazel Avenue, Highveld Extension 79, Centurion, 0157, South Africa.	ECIC का	ECIC का पता है: 349 विच हेजल एवेन्यू, हाईवेल्ड एक्सटेंशन 79, सेंचुरियन, 0157, दक्षिण अफ्रीका|	Both	Descriptive
2096	What is an authorized South African export credit insurance company?	 सी दक्षिण अफ्रीकी सरकार के स्वामित्व वाली एक निर्यात ऋण बीमा कंपनी है?	Economic	Export Credit Insurance Corporation of South Africa Ltd South Africa (“ECIC”)	Export Credit Insurance Corporation of South Africa Ltd, South Africa (“ECIC”), an authorized South African export credit insurance company.	एक्सपोर्ट क्रेडिट इंश्योरेंस कॉरपोरेशन ऑफ साउथ अफ्रीका लिमिटेड साउथ अफ्रीका (ECIC)	एक्सपोर्ट क्रेडिट इंश्योरेंस कॉरपोरेशन ऑफ साउथ अफ्रीका लिमिटेड साउथ अफ्रीका ("ECIC")- यह दक्षिण अफ्रीकी सरकार के स्वामित्व वाली एक निर्यात ऋण बीमा कंपनी हैं|	Both	Factoid
2091	What is China Export & Credit Insurance Corporation, P.R. China (SINOSURE)?	चीन निर्यात और क्रेडिट बीमा निगम, पीआर चीन क्या है (SINOSURE)?	Economic	China Export & Credit Insurance Corporation, P.R. China (SINOSURE), an authorized Chinese export credit insurance institution, fully owned by government.	China Export & Credit Insurance Corporation, P.R. China ("SINOSURE"), an authorized Chinese export credit insurance institution, fully owned by government.	चाईना एक्सपोर्ट एंड क्रेडिट इंश्योरेंस कॉरपोरेशन, पी.आर चाईना (SINOSURE): यह एक अधिकृत चीनी निर्यात ऋण बीमा संस्था है जिस पर पूरी तरह से सरकार का स्वामित्व है|	चाईना एक्सपोर्ट एंड क्रेडिट इंश्योरेंस कॉरपोरेशन, पी.आर चाईना ("SINOSURE"): यह एक अधिकृत चीनी निर्यात ऋण बीमा संस्था है जिस पर पूरी तरह से सरकार का स्वामित्व है|	Both	Descriptive
2093	Where is SINOSURE's  registered office?	SINOSURE का पंजीकृत कार्यालय कहां है?	Economic	SINOSURE’s  registered office is at Fortune Times Building, 11 Fenghuiyuan, Xicheng District, Beijing, China.	SINOSURE’s  registered office is at Fortune Times Building, 11 Fenghuiyuan, Xicheng District, Beijing, China.	SINOSURE का पंजीकृत कार्यालय पता है- फॉर्च्यून टाइम्स बिल्डिंग, 11 फेंगहुईयुआन, सिचेंग डिस्ट्रिक्ट, बीजिंग, चीन है|	SINOSURE का पंजीकृत कार्यालय पता है- फॉर्च्यून टाइम्स बिल्डिंग, 11 फेंगहुईयुआन, सिचेंग डिस्ट्रिक्ट, बीजिंग, चीन है|	Both	Descriptive
2092	Whose registered office is at Fortune Times Building, 11 Fenghuiyuan, Xicheng District, Beijing, China?	किसका पंजीकृत कार्यालय फॉर्च्यून टाइम्स बिल्डिंग, 11 फेंगहुईयुआन, सिचेंग डिस्ट्रिक्ट, बीजिंग, चीन में है?	Economic	SINOSURE	SINOSURE’s  registered office is at Fortune Times Building, 11 Fenghuiyuan, Xicheng District, Beijing, China.	SINOSURE का	SINOSURE का पंजीकृत कार्यालय पता है- फॉर्च्यून टाइम्स बिल्डिंग, 11 फेंगहुईयुआन, सिचेंग डिस्ट्रिक्ट, बीजिंग, चीन है|	Both	Factoid
2098	Where is ECICs registered office?	ECICs पंजीकृत कार्यालय कहां है?	Economic	ECIC is a self-sustained state-owned ECA with its registered office at 349 Witch Hazel Avenue, Highveld Extension 79, Centurion, 0157, South Africa.	ECIC is a self-sustained state-owned ECA with its registered office at 349 Witch Hazel Avenue, Highveld Extension 79, Centurion, 0157, South Africa.	ECIC का पता है: 349 विच हेजल एवेन्यू, हाईवेल्ड एक्सटेंशन 79, सेंचुरियन, 0157, दक्षिण अफ्रीका|	ECIC का पता है: 349 विच हेजल एवेन्यू, हाईवेल्ड एक्सटेंशन 79, सेंचुरियन, 0157, दक्षिण अफ्रीका|	Both	Descriptive
6006	Through what children that are suffering from malnutrition will be recognized?	कुपोषण से पीड़ित बच्चों को किसके द्वारा  मान्यता मिलेगी?	Economic	local Aganwadi	Children who are suffering from malnutrition will be recognized through local Aganwadi and shall be given adequate diet to become healthy.	स्थानीय आंगनवाड़ी	कुपोषण से पीड़ित बच्चों की पहचान स्थानीय आंगनवाड़ी के माध्यम से की जाएगी और उन्हें स्वस्थ्य बनाने के लिए पर्याप्त आहार दिया जाएगा|	Both	Factoid
6007	Why Children that are suffering from malnutrition will be recognized through local Anganwadi and shall be given adequate diet?	क्यों कि कुपोषण से पीड़ित बच्चों को स्थानीय आंगनवाड़ी के माध्यम से पहचाना जाएगा और उन्हें पर्याप्त आहार दिया जाएगा?	Economic	Children who are suffering from malnutrition will be recognized through local Aganwadi and shall be given adequate diet to become healthy.	Children who are suffering from malnutrition will be recognized through local Aganwadi and shall be given adequate diet to become healthy.	कुपोषण से पीड़ित बच्चों की पहचान स्थानीय आंगनवाड़ी के माध्यम से की जाएगी और उन्हें स्वस्थ्य बनाने के लिए पर्याप्त आहार दिया जाएगा|	कुपोषण से पीड़ित बच्चों की पहचान स्थानीय आंगनवाड़ी के माध्यम से की जाएगी और उन्हें स्वस्थ्य बनाने के लिए पर्याप्त आहार दिया जाएगा|	Both	Descriptive
6004	Which age group of children shall be given one free mid day meal every day in all schools run by local bodies as per the National Food Security Bill?	राष्ट्रीय खाद्य सुरक्षा विधेयक के अनुसार स्थानीय निकायों द्वारा चलाए जा रहे सभी स्कूलों में बच्चों के किस आयु समूह को एक दिन में मुफ्त भोजन दिया जायेगा?	Economic	between 6 to 14 years	For children between 6 to 14 years one free mid day meal shall be given every day in all schools run by local bodies.	6 से 14 वर्ष	राष्ट्रीय खाद्य सुरक्षा विधेयक में स्थानीय निकायों द्वारा चलाये जा रहे सभी स्कूलों में 6 से 14 वर्ष के आयु वर्ग वाले बच्चों को प्रत्येक दिन नि: शुल्क मध्याह्न भोजन देने का प्रावधान है|	Both	Factoid
6005	Which children will be recognized through local Anganwadi and shall be given adequate diet to become healthy?	कौन से बच्चों को स्थानीय आंगनवाड़ी के माध्यम से पहचाना जाएगा और स्वस्थ बनने के लिए पर्याप्त आहार दिया जाएगा?	Economic	Children who are suffering from malnutrition will be recognized through local Aganwadi and shall be given adequate diet to become healthy.	Children who are suffering from malnutrition will be recognized through local Aganwadi and shall be given adequate diet to become healthy.	कुपोषण से पीड़ित बच्चों की पहचान स्थानीय आंगनवाड़ी के माध्यम से की जाएगी और उन्हें स्वस्थ्य बनाने के लिए पर्याप्त आहार दिया जाएगा|	कुपोषण से पीड़ित बच्चों की पहचान स्थानीय आंगनवाड़ी के माध्यम से की जाएगी और उन्हें स्वस्थ्य बनाने के लिए पर्याप्त आहार दिया जाएगा|	Both	Descriptive
2521	On what did the Seventh Five-Year Plan laid stress?	सातवीं पंचवर्षीय योजना पर तनाव क्या था?	Economic	The Seventh Five-Year plan laid stress on improving the productivity level of industries by upgrading of technology.	The Seventh Five-Year plan laid stress on improving the productivity level of industries by upgrading of technology.	सातवीं पंचवर्षीय योजना ने  प्रौद्योगिकी की उन्नत्ति करके उद्योगों की उत्पादकता के स्तर में सुधार लाने पर जोर दिया|	सातवीं पंचवर्षीय योजना ने  प्रौद्योगिकी की उन्नत्ति करके उद्योगों की उत्पादकता के स्तर में सुधार लाने पर जोर दिया|	Both	Descriptive
2520	Whose comeback to power did the Seventh Plan marked?	किसने सत्ता में वापसी की सातवीं योजना को चिह्नित किया?	Economic	Congress Party	Seventh Five-Year Plan (1985–1990): The Seventh Plan marked the comeback of the Congress Party to power.	कांग्रेस पार्टी	सातवीं पंचवर्षीय योजना (1985-1990): ने कांग्रेस पार्टी के सत्ता में आने की वापसी को चिह्नित किया |	Both	Factoid
2488	Which Revolution in India advanced agriculture during the Fourth Five-Year Plan?	भारत में कौन सी क्रांति चौथी पंचवर्षीय योजना के दौरान कृषि उन्नत कर रही है?	Economic	Green Revolution	The Indira Gandhi government nationalised 14 major Indian banks and the Green Revolution in India advanced agriculture.	हरित क्रांति	इंदिरा गांधी सरकार ने 14 प्रमुख भारतीय बैंकों का राष्ट्रीयकरण किया तथा भारत में पहली हरित क्रांति से कृषि उत्पादन में काफी बृद्धि हुई |	Both	Factoid
2522	Which Five-Year plan laid stress on improving the productivity level of industries by upgrading of technology?	तकनीक का उन्नयन करके उद्योगों के उत्पादकता स्तर में सुधार करने पर पांचवीं योजना किसने लगाई थी?	Economic	Seventh Five-Year	The Seventh Five-Year plan laid stress on improving the productivity level of industries by upgrading of technology.	सातवीं पंचवर्षीय योजना	सातवीं पंचवर्षीय योजना ने  प्रौद्योगिकी की उन्नत्ति करके उद्योगों की उत्पादकता के स्तर में सुधार लाने पर जोर दिया|	Both	Factoid
2486	How many major Indian banks did the Indira Gandhi government nationalised during the Fourth Five-Year Plan?	चौथी पंचवर्षीय योजना के दौरान इंदिरा गांधी सरकार ने कितने बड़े बैंकों का राष्ट्रीयकरण किया?	Economic	14	The Indira Gandhi government nationalised 14 major Indian banks and the Green Revolution in India advanced agriculture.	14	इंदिरा गांधी सरकार ने 14 प्रमुख भारतीय बैंकों का राष्ट्रीयकरण किया तथा भारत में पहली हरित क्रांति से कृषि उत्पादन में काफी बृद्धि हुई |	Both	Factoid
2487	What did the Indira Gandhi government nationalised during the Fourth Five-Year Plan?	चौथी पंचवर्षीय योजना के दौरान इंदिरा गांधी की सरकार ने क्या किया?	Economic	14 major Indian banks	The Indira Gandhi government nationalised 14 major Indian banks and the Green Revolution in India advanced agriculture.	14 प्रमुख भारतीय बैंकों	इंदिरा गांधी सरकार ने 14 प्रमुख भारतीय बैंकों का राष्ट्रीयकरण किया तथा भारत में पहली हरित क्रांति से कृषि उत्पादन में काफी बृद्धि हुई |	Both	Factoid
2484	At what time Indira Gandhi was the Prime Minister of India?	किस समय इंदिरा गांधी भारत के प्रधान मंत्री थे?	Economic	Fourth Five-Year Plan	Fourth Five-Year Plan (1969–1974): At this time Indira Gandhi was the Prime Minister.	चौथी पंचवर्षीय योजना	चौथी पंचवर्षीय योजना (1969-1974): इस समय इंदिरा गांधी प्रधानमंत्री थीं |	Both	Factoid
2485	Which government nationalised 14 major Indian banks and the Green Revolution in India during the Fourth Five-Year Plan?	चौथी पंचवर्षीय योजना के दौरान किस सरकार ने भारत में 14 प्रमुख भारतीय बैंकों और हरित क्रांति का राष्ट्रीयकरण किया था?	Economic	Indira Gandhi government	The Indira Gandhi government nationalised 14 major Indian banks and the Green Revolution in India advanced agriculture.	इंदिरा गांधी सरकार	इंदिरा गांधी सरकार ने 14 प्रमुख भारतीय बैंकों का राष्ट्रीयकरण किया तथा भारत में पहली हरित क्रांति से कृषि उत्पादन में काफी बृद्धि हुई |	Both	Factoid
2529	Which Bill was passed by the parliament in 2013?	2013 में संसद द्वारा कौन सी विधेयक पारित किया गया था?	Economic	National Food Security Bill	The National Food Security Bill was passed by the parliament in 2013.	राष्ट्रीय खाद्य सुरक्षा विधेयक	राष्ट्रीय खाद्य सुरक्षा विधेयक 2013 में संसद द्वारा पारित किया गया था|	Both	Factoid
2483	Who was the Prime Minister of India during Fourth Five-Year Plan?	चौथी पंचवर्षीय योजना के दौरान भारत के प्रधान मंत्री कौन थे?	Economic	Indira Gandhi	Fourth Five-Year Plan (1969–1974): At this time Indira Gandhi was the Prime Minister.	इंदिरा गांधी	चौथी पंचवर्षीय योजना (1969-1974): इस समय इंदिरा गांधी प्रधानमंत्री थीं |	Both	Factoid
6008	What shall Children that are suffering from malnutrition be given to become healthy?	कुपोषण से पीड़ित बच्चों को स्वस्थ होने के लिए क्या दिया जाए?	Economic	adequate diet	Children who are suffering from malnutrition will be recognized through local Aganwadi and shall be given adequate diet to become healthy.	पर्याप्त आहार	कुपोषण से पीड़ित बच्चों की पहचान स्थानीय आंगनवाड़ी के माध्यम से की जाएगी और उन्हें स्वस्थ्य बनाने के लिए पर्याप्त आहार दिया जाएगा|	Both	Factoid
